statisticalID,name,partOf,code,physicalType
AWn3s2RqgAN,Central,Location/0,ADMIN_STRUCTURE,Jurisdiction
utIjliUdjp8,Copperbelt,Location/0,ADMIN_STRUCTURE,Jurisdiction
J7PQPWAeRUk,Eastern,Location/0,ADMIN_STRUCTURE,Jurisdiction
KozcEjeTyuD,Lusaka,Location/0,ADMIN_STRUCTURE,Jurisdiction
B1u1bVtIA92,Luapula,Location/0,ADMIN_STRUCTURE,Jurisdiction
dbTLdTi7s8F,Muchinga,Location/0,ADMIN_STRUCTURE,Jurisdiction
SwwuteU1Ajk,Northern,Location/0,ADMIN_STRUCTURE,Jurisdiction
q5hODNmn021,North Western,Location/0,ADMIN_STRUCTURE,Jurisdiction
oPLMrarKeEY,Southern,Location/0,ADMIN_STRUCTURE,Jurisdiction
g1bv2xjtV0w,Western,Location/0,ADMIN_STRUCTURE,Jurisdiction
